edge_key,src_name,src_label,relation_type,dst_name,dst_label,status
轻罪||Crime||related_to||抢动罪||Crime,轻罪,Crime,related_to,抢动罪,Crime,FP
轻罪||Crime||related_to||重罪||Crime,轻罪,Crime,related_to,重罪,Crime,FP
过失||Concept||related_to||意外事件||Concept,过失,Concept,related_to,意外事件,Concept,FP
过失||Concept||related_to||故意||Concept,过失,Concept,related_to,故意,Concept,FP
过失犯罪||Crime||includes||疏忽大意的过失||Crime,过失犯罪,Crime,includes,疏忽大意的过失,Crime,FP
过失犯罪||Crime||related_to||主客观相一致原则||Concept,过失犯罪,Crime,related_to,主客观相一致原则,Concept,FP
过失行为||Crime||causes||二因一果||Concept,过失行为,Crime,causes,二因一果,Concept,FP
过期食品||Concept||causes||顾客||Other,过期食品,Concept,causes,顾客,Other,FP
运输假币罪||Crime||defines||假币||Concept,运输假币罪,Crime,defines,假币,Concept,FP
重伤||Crime||related_to||打死||Crime,重伤,Crime,related_to,打死,Crime,FP
重罪||Crime||related_to||轻罪||Crime,重罪,Crime,related_to,轻罪,Crime,FP
重罪||Law||includes||轻罪||Law,重罪,Law,includes,轻罪,Law,FP
金融诈骗||Crime||includes||诈骗罪||Crime,金融诈骗,Crime,includes,诈骗罪,Crime,FP
间接故意||Concept||related_to||事实认识错误||Concept,间接故意,Concept,related_to,事实认识错误,Concept,FP
间接故意||Concept||related_to||直接故意||Concept,间接故意,Concept,related_to,直接故意,Concept,FP
隔离犯||Crime||includes||教唆犯||Crime,隔离犯,Crime,includes,教唆犯,Crime,FP
隔离犯||Crime||related_to||教唆犯||Crime,隔离犯,Crime,related_to,教唆犯,Crime,FP
非法拘禁罪||Crime||related_to||拐卖儿童罪||Crime,非法拘禁罪,Crime,related_to,拐卖儿童罪,Crime,FP
颇脑损伤||Crime||causes||死亡||Crime,颇脑损伤,Crime,causes,死亡,Crime,FP
食品质量||Concept||causes||过期食品||Concept,食品质量,Concept,causes,过期食品,Concept,FP
骏力||Other||related_to||胁迫||Crime,骏力,Other,related_to,胁迫,Crime,FP
鸣忽大意的过失||Concept||related_to||朴忽大意的过失||Concept,鸣忽大意的过失,Concept,related_to,朴忽大意的过失,Concept,FP
A+B||罪名||includes||盗穿罪||罪名,A+B,罪名,includes,盗穿罪,罪名,FN
上游犯罪||crime||causes||犯罪证据||evidence,上游犯罪,crime,causes,犯罪证据,evidence,FN
上游犯罪||crime||related_to||犯罪既遂||phase,上游犯罪,crime,related_to,犯罪既遂,phase,FN
不能犯||TERM||defines||对象不能犯||TERM,不能犯,TERM,defines,对象不能犯,TERM,FN
不能犯||TERM||related_to||犯罪形态||TERM,不能犯,TERM,related_to,犯罪形态,TERM,FN
专题讲座精讲卷||PUBLICATION||includes||事实认识错误||LEGAL_CONCEPT,专题讲座精讲卷,PUBLICATION,includes,事实认识错误,LEGAL_CONCEPT,FN
丙的渔网||entity||related_to||乙的渔网||entity,丙的渔网,entity,related_to,乙的渔网,entity,FN
丙的渔网||entity||related_to||打击错误||entity,丙的渔网,entity,related_to,打击错误,entity,FN
主观题||entity||includes||观点展示||entity,主观题,entity,includes,观点展示,entity,FN
二皇子||PERSON||causes||太子||PERSON,二皇子,PERSON,causes,太子,PERSON,FN
二皇子||PERSON||causes||太监||PERSON,二皇子,PERSON,causes,太监,PERSON,FN
二皇子||PERSON||related_to||太监||PERSON,二皇子,PERSON,related_to,太监,PERSON,FN
交通法规||LEGAL_CONCEPT||part_of||行政法||LEGAL_CONCEPT,交通法规,LEGAL_CONCEPT,part_of,行政法,LEGAL_CONCEPT,FN
交通秘事罪||LEGAL_CONCEPT||related_to||故意杀人罪||LEGAL_CONCEPT,交通秘事罪,LEGAL_CONCEPT,related_to,故意杀人罪,LEGAL_CONCEPT,FN
交通秘事罪||LEGAL_CONCEPT||related_to||过失犯罪||LEGAL_CONCEPT,交通秘事罪,LEGAL_CONCEPT,related_to,过失犯罪,LEGAL_CONCEPT,FN
人质||ENTITY||applies_to||绑架罪||ENTITY,人质,ENTITY,applies_to,绑架罪,ENTITY,FN
侵占罪||CRIME||punishes||不当得利||LEGAL_CONCEPT,侵占罪,CRIME,punishes,不当得利,LEGAL_CONCEPT,FN
入户非法取财||ENTITY||related_to||抢劫||ENTITY,入户非法取财,ENTITY,related_to,抢劫,ENTITY,FN
具体的认识错误||CONCEPT||defines||同一构成要件内的认识错误||CONCEPT,具体的认识错误,CONCEPT,defines,同一构成要件内的认识错误,CONCEPT,FN
具体符合说||doctrine||defines||故意杀人罪未遂||crime,具体符合说,doctrine,defines,故意杀人罪未遂,crime,FN
具体符合说||doctrine||defines||过失致死亡罪||crime,具体符合说,doctrine,defines,过失致死亡罪,crime,FN
凶器||entity||causes||重伤||entity,凶器,entity,causes,重伤,entity,FN
刑法||LAW||related_to||专题讲座精讲卷||WORK,刑法,LAW,related_to,专题讲座精讲卷,WORK,FN
刑法||LEGAL_CONCEPT||related_to||故意||LEGAL_CONCEPT,刑法,LEGAL_CONCEPT,related_to,故意,LEGAL_CONCEPT,FN
前后行为||ENTITY||causes||二因一果||ENTITY,前后行为,ENTITY,causes,二因一果,ENTITY,FN
前女友||PERSONAL_RELATION||related_to||劫菲||CRIME,前女友,PERSONAL_RELATION,related_to,劫菲,CRIME,FN
动机错误||ENTITY||related_to||故意||ENTITY,动机错误,ENTITY,related_to,故意,ENTITY,FN
包庇罪||CRIME||applies_to||犯罪分子||PERSON,包庇罪,CRIME,applies_to,犯罪分子,PERSON,FN
医生||CONCEPT||applies_to||应当预见||CONCEPT,医生,CONCEPT,applies_to,应当预见,CONCEPT,FN
医生||CONCEPT||applies_to||手术||CONCEPT,医生,CONCEPT,applies_to,手术,CONCEPT,FN
医生||CONCEPT||causes||疏忽大意的过失||CONCEPT,医生,CONCEPT,causes,疏忽大意的过失,CONCEPT,FN
同一构成要件内的认识错误||CONCEPT||includes||客观构成要件||CONCEPT,同一构成要件内的认识错误,CONCEPT,includes,客观构成要件,CONCEPT,FN
外文书籍||BOOK||related_to||淫秽的小说||BOOK,外文书籍,BOOK,related_to,淫秽的小说,BOOK,FN
太子||PERSON||related_to||二皇子||PERSON,太子,PERSON,related_to,二皇子,PERSON,FN
太子||PERSON||related_to||太监||PERSON,太子,PERSON,related_to,太监,PERSON,FN
妻子||PERSON||causes||毒酒||OBJECT,妻子,PERSON,causes,毒酒,OBJECT,FN
妻子||PERSON||related_to||儿子||PERSON,妻子,PERSON,related_to,儿子,PERSON,FN
妻子||person||applies_to||毒酒||object,妻子,person,applies_to,毒酒,object,FN
妻子||person||causes||过失的危险||danger,妻子,person,causes,过失的危险,danger,FN
妻子||person||related_to||丈夫||person,妻子,person,related_to,丈夫,person,FN
妻子||person||related_to||故意杀人罪||crime,妻子,person,related_to,故意杀人罪,crime,FN
安眠药||OBJECT||applies_to||丈夫||PERSON,安眠药,OBJECT,applies_to,丈夫,PERSON,FN
安眠药||entity||causes||丈夫||entity,安眠药,entity,causes,丈夫,entity,FN
客观构成要件||CONCEPT||includes||杀死人||CONCEPT,客观构成要件,CONCEPT,includes,杀死人,CONCEPT,FN
对象认识错误||ENTITY||related_to||既遂||ENTITY,对象认识错误,ENTITY,related_to,既遂,ENTITY,FN
对象认识错误||ENTITY||related_to||犯罪故意||ENTITY,对象认识错误,ENTITY,related_to,犯罪故意,ENTITY,FN
对象认识错误||ENTITY||related_to||绑架罪||ENTITY,对象认识错误,ENTITY,related_to,绑架罪,ENTITY,FN
对象错误||CONCEPT||related_to||打击错误||CONCEPT,对象错误,CONCEPT,related_to,打击错误,CONCEPT,FN
对象错误||Concept||related_to||认识错误||Concept,对象错误,Concept,related_to,认识错误,Concept,FN
对象错误||LEGAL_CONCEPT||related_to||打击错误||LEGAL_CONCEPT,对象错误,LEGAL_CONCEPT,related_to,打击错误,LEGAL_CONCEPT,FN
对象错误||entity||related_to||打击错误||entity,对象错误,entity,related_to,打击错误,entity,FN
对象错误||legal_concept||related_to||打击错误||legal_concept,对象错误,legal_concept,related_to,打击错误,legal_concept,FN
少数说||少数说||related_to||后因一果||后因一果,少数说,少数说,related_to,后因一果,后因一果,FN
已经预见||CONCEPT||defines||实然状态||CONCEPT,已经预见,CONCEPT,defines,实然状态,CONCEPT,FN
已经预见||LEGAL_TERM||related_to||轻信能够避免||LEGAL_TERM,已经预见,LEGAL_TERM,related_to,轻信能够避免,LEGAL_TERM,FN
帮助毁灭证据罪||crime||applies_to||上游犯罪||crime,帮助毁灭证据罪,crime,applies_to,上游犯罪,crime,FN
并列式观点展示||unknown||includes||具体符合说||unknown,并列式观点展示,unknown,includes,具体符合说,unknown,FN
并列式观点展示||unknown||includes||法定符合说||unknown,并列式观点展示,unknown,includes,法定符合说,unknown,FN
应当预见||CONCEPT||defines||应然状态||CONCEPT,应当预见,CONCEPT,defines,应然状态,CONCEPT,FN
应当预见||CONCEPT||related_to||已经预见||CONCEPT,应当预见,CONCEPT,related_to,已经预见,CONCEPT,FN
应当预见||CONCEPT||related_to||玻名大意||CONCEPT,应当预见,CONCEPT,related_to,玻名大意,CONCEPT,FN
张三||person||related_to||李四||person,张三,person,related_to,李四,person,FN
张明楷||PERSON||defines||刑法学||BOOK,张明楷,PERSON,defines,刑法学,BOOK,FN
强奸罪||罪名||related_to||强制猥褒罪||罪名,强奸罪,罪名,related_to,强制猥褒罪,罪名,FN
想象竟合||想象竟合||related_to||故意杀人罪既遂||故意杀人罪既遂,想象竟合,想象竟合,related_to,故意杀人罪既遂,故意杀人罪既遂,FN
打击错误||Concept||related_to||认识错误||Concept,打击错误,Concept,related_to,认识错误,Concept,FN
打击错误||EVENT||related_to||结果的推迟发生||EVENT,打击错误,EVENT,related_to,结果的推迟发生,EVENT,FN
打击错误||EVENT||related_to||结果的提前实现||EVENT,打击错误,EVENT,related_to,结果的提前实现,EVENT,FN
抢动罪||抢动罪||causes||致人死亡||致人死亡,抢动罪,抢动罪,causes,致人死亡,致人死亡,FN
抢劫||ENTITY||related_to||财物||ENTITY,抢劫,ENTITY,related_to,财物,ENTITY,FN
抢劫罪||crime||related_to||盗窃罪||crime,抢劫罪,crime,related_to,盗窃罪,crime,FN
抢劫罪||entity||causes||死亡||entity,抢劫罪,entity,causes,死亡,entity,FN
抢劫罪||抢劫罪||related_to||过失致人死亡罪||过失致人死亡罪,抢劫罪,抢劫罪,related_to,过失致人死亡罪,过失致人死亡罪,FN
择一故意||CONCEPT||related_to||间接故意||CONCEPT,择一故意,CONCEPT,related_to,间接故意,CONCEPT,FN
推迟发生||entity||related_to||故意杀人罪||entity,推迟发生,entity,related_to,故意杀人罪,entity,FN
放火罪||LEGAL_CONCEPT||related_to||失火罪||LEGAL_CONCEPT,放火罪,LEGAL_CONCEPT,related_to,失火罪,LEGAL_CONCEPT,FN
故意||LEGAL_CONCEPT||related_to||犯罪||LEGAL_CONCEPT,故意,LEGAL_CONCEPT,related_to,犯罪,LEGAL_CONCEPT,FN
故意||LEGAL_CONCEPT||related_to||行政违法||LEGAL_CONCEPT,故意,LEGAL_CONCEPT,related_to,行政违法,LEGAL_CONCEPT,FN
故意||LEGAL_TERM||related_to||过失||LEGAL_TERM,故意,LEGAL_TERM,related_to,过失,LEGAL_TERM,FN
故意||entity||related_to||抢劫罪||entity,故意,entity,related_to,抢劫罪,entity,FN
故意||故意||related_to||抢动罪||抢动罪,故意,故意,related_to,抢动罪,抢动罪,FN
故意伤害罪||CRIME||related_to||侵占罪||CRIME,故意伤害罪,CRIME,related_to,侵占罪,CRIME,FN
故意伤害罪||crime||related_to||伤害健康||event,故意伤害罪,crime,related_to,伤害健康,event,FN
故意杀人罪||CRIME||related_to||想象竞合||LEGAL_CONCEPT,故意杀人罪,CRIME,related_to,想象竞合,LEGAL_CONCEPT,FN
故意杀人罪||CRIME||related_to||想象竟合||LEGAL_CONCEPT,故意杀人罪,CRIME,related_to,想象竟合,LEGAL_CONCEPT,FN
故意杀人罪||CRIME||related_to||过失致人死亡罪||CRIME,故意杀人罪,CRIME,related_to,过失致人死亡罪,CRIME,FN
故意杀人罪||ENTITY||includes||既遂||ENTITY,故意杀人罪,ENTITY,includes,既遂,ENTITY,FN
故意杀人罪||LegalEntity||includes||未遂||LegalEntity,故意杀人罪,LegalEntity,includes,未遂,LegalEntity,FN
故意杀人罪||LegalEntity||includes||犯罪预备||LegalEntity,故意杀人罪,LegalEntity,includes,犯罪预备,LegalEntity,FN
故意杀人罪||LegalEntity||related_to||想象竞合||LegalEntity,故意杀人罪,LegalEntity,related_to,想象竞合,LegalEntity,FN
故意杀人罪||crime||applies_to||妻子||person,故意杀人罪,crime,applies_to,妻子,person,FN
故意杀人罪||crime||includes||故意伤害罪||crime,故意杀人罪,crime,includes,故意伤害罪,crime,FN
故意杀人罪||crime||includes||犯罪预备||legal_concept,故意杀人罪,crime,includes,犯罪预备,legal_concept,FN
故意杀人罪||crime||related_to||想象竞合||legal_concept,故意杀人罪,crime,related_to,想象竞合,legal_concept,FN
故意杀人罪||crime||related_to||犯罪预备||preparation,故意杀人罪,crime,related_to,犯罪预备,preparation,FN
故意杀人罪||crime||related_to||过失致人死亡罪||crime,故意杀人罪,crime,related_to,过失致人死亡罪,crime,FN
故意杀人罪||罪名||includes||过失致人死亡罪||罪名,故意杀人罪,罪名,includes,过失致人死亡罪,罪名,FN
故意杀人罪||罪名||related_to||故意伤害罪||罪名,故意杀人罪,罪名,related_to,故意伤害罪,罪名,FN
故意杀人罪未遂||crime||related_to||故意伤害罪致人重伤||crime,故意杀人罪未遂,crime,related_to,故意伤害罪致人重伤,crime,FN
故意杀人罪未遂||crime||related_to||故意杀人罪既送||crime,故意杀人罪未遂,crime,related_to,故意杀人罪既送,crime,FN
故意杀人罪未遂||crime||related_to||过失致死亡罪||crime,故意杀人罪未遂,crime,related_to,过失致死亡罪,crime,FN
故意杀人罪未遂||故意杀人罪未遂||related_to||故意杀人罪既遂||故意杀人罪既遂,故意杀人罪未遂,故意杀人罪未遂,related_to,故意杀人罪既遂,故意杀人罪既遂,FN
故意杀人罪未遂||故意杀人罪未遂||related_to||过失致人死亡罪||过失致人死亡罪,故意杀人罪未遂,故意杀人罪未遂,related_to,过失致人死亡罪,过失致人死亡罪,FN
故意毁坏财物罪||crime||includes||既遂||status,故意毁坏财物罪,crime,includes,既遂,status,FN
故意毁坏财物罪||crime||related_to||过失致人死亡罪||crime,故意毁坏财物罪,crime,related_to,过失致人死亡罪,crime,FN
无法预见||CONCEPT||causes||没有预见||CONCEPT,无法预见,CONCEPT,causes,没有预见,CONCEPT,FN
暴风雨||WEATHER_EVENT||causes||客船||VEHICLE,暴风雨,WEATHER_EVENT,causes,客船,VEHICLE,FN
暴风雨||实体||causes||海浪||实体,暴风雨,实体,causes,海浪,实体,FN
最终定故意杀人罪既北||unknown||related_to||多数说||unknown,最终定故意杀人罪既北,unknown,related_to,多数说,unknown,FN
最终定故意杀人罪既北||unknown||related_to||少数说||unknown,最终定故意杀人罪既北,unknown,related_to,少数说,unknown,FN
有毒饮料||OBJECT||applies_to||小芳||PERSON,有毒饮料,OBJECT,applies_to,小芳,PERSON,FN
朴忽大意的过失||CONCEPT||defines||应当预见||CONCEPT,朴忽大意的过失,CONCEPT,defines,应当预见,CONCEPT,FN
朴忽大意的过失||CONCEPT||defines||结果预见可能性||CONCEPT,朴忽大意的过失,CONCEPT,defines,结果预见可能性,CONCEPT,FN
朴忽大意的过失||CONCEPT||related_to||意外事件||EVENT,朴忽大意的过失,CONCEPT,related_to,意外事件,EVENT,FN
朴忽大意的过失||CONCEPT||related_to||是否已经预见||CONCEPT,朴忽大意的过失,CONCEPT,related_to,是否已经预见,CONCEPT,FN
朴忽大意的过失||CONCEPT||related_to||过于自信的过失||CONCEPT,朴忽大意的过失,CONCEPT,related_to,过于自信的过失,CONCEPT,FN
杀人||行为||causes||抛尸||行为,杀人,行为,causes,抛尸,行为,FN
李茶||PERSON||related_to||过于自信的过失||LEGAL_TERM,李茶,PERSON,related_to,过于自信的过失,LEGAL_TERM,FN
枪支||ENTITY||includes||普通财物||ENTITY,枪支,ENTITY,includes,普通财物,ENTITY,FN
枪支||物品||includes||普通财物||物品,枪支,物品,includes,普通财物,物品,FN
概括故意||CONCEPT||related_to||择一故意||CONCEPT,概括故意,CONCEPT,related_to,择一故意,CONCEPT,FN
概括故意||CONCEPT||related_to||间接故意||CONCEPT,概括故意,CONCEPT,related_to,间接故意,CONCEPT,FN
死亡||EVENT||related_to||直接故意||LEGAL_CONCEPT,死亡,EVENT,related_to,直接故意,LEGAL_CONCEPT,FN
死人||PERSON||related_to||故意杀人罪||CRIME,死人,PERSON,related_to,故意杀人罪,CRIME,FN
毒酒||OBJECT||applies_to||丈夫||PERSON,毒酒,OBJECT,applies_to,丈夫,PERSON,FN
毒酒||OBJECT||causes||丈夫||PERSON,毒酒,OBJECT,causes,丈夫,PERSON,FN
毒酒||object||causes||儿子||person,毒酒,object,causes,儿子,person,FN
法官||PERSON||related_to||过失犯罪||EVENT,法官,PERSON,related_to,过失犯罪,EVENT,FN
法定符合说||CONCEPT||related_to||具体符合说||CONCEPT,法定符合说,CONCEPT,related_to,具体符合说,CONCEPT,FN
法定符合说||doctrine||defines||故意杀人罪既送||crime,法定符合说,doctrine,defines,故意杀人罪既送,crime,FN
法定符合说||doctrine||defines||故意杀人罪未遂||crime,法定符合说,doctrine,defines,故意杀人罪未遂,crime,FN
法定符合说||doctrine||related_to||具体符合说||doctrine,法定符合说,doctrine,related_to,具体符合说,doctrine,FN
法考||CONCEPT||related_to||法定符合说||CONCEPT,法考,CONCEPT,related_to,法定符合说,CONCEPT,FN
活人||PERSON||related_to||故意杀人罪||CRIME,活人,PERSON,related_to,故意杀人罪,CRIME,FN
犯罪故意或目的||psychological_state||related_to||实行行为时||time,犯罪故意或目的,psychological_state,related_to,实行行为时,time,FN
狗蛋||PERSON||causes||有毒饮料||OBJECT,狗蛋,PERSON,causes,有毒饮料,OBJECT,FN
狗蛋||PERSON||related_to||电话亭投毒案||EVENT,狗蛋,PERSON,related_to,电话亭投毒案,EVENT,FN
狭义因果关系错误||LEGAL_CONCEPT||related_to||打击错误||LEGAL_CONCEPT,狭义因果关系错误,LEGAL_CONCEPT,related_to,打击错误,LEGAL_CONCEPT,FN
玖忽大意||CONCEPT||causes||疏忽大意的过失||CONCEPT,玖忽大意,CONCEPT,causes,疏忽大意的过失,CONCEPT,FN
疏忽大意的过失||LEGAL_TERM||causes||过失致人死亡罪||LEGAL_TERM,疏忽大意的过失,LEGAL_TERM,causes,过失致人死亡罪,LEGAL_TERM,FN
盗宅||ENTITY||related_to||侵占||ENTITY,盗宅,ENTITY,related_to,侵占,ENTITY,FN
盗宅枪支||ENTITY||includes||盗宅普通财物||ENTITY,盗宅枪支,ENTITY,includes,盗宅普通财物,ENTITY,FN
盗穷枪支罪||ENTITY||includes||普通盗穷罪||ENTITY,盗穷枪支罪,ENTITY,includes,普通盗穷罪,ENTITY,FN
直接故意||LEGAL_CONCEPT||related_to||谴责||ACTION,直接故意,LEGAL_CONCEPT,related_to,谴责,ACTION,FN
直接故意||LEGAL_TERM||applies_to||故意杀人罪||LEGAL_TERM,直接故意,LEGAL_TERM,applies_to,故意杀人罪,LEGAL_TERM,FN
直接的危险||danger||applies_to||法益||legal_concept,直接的危险,danger,applies_to,法益,legal_concept,FN
第14条||LAW_ARTICLE||defines||故意犯罪||CRIME,第14条,LAW_ARTICLE,defines,故意犯罪,CRIME,FN
第十一讲||REFERENCE||includes||犯罪未遂||LEGAL_CONCEPT,第十一讲,REFERENCE,includes,犯罪未遂,LEGAL_CONCEPT,FN
红灯||LEGAL_CONCEPT||part_of||交通法规||LEGAL_CONCEPT,红灯,LEGAL_CONCEPT,part_of,交通法规,LEGAL_CONCEPT,FN
绑架||ENTITY||part_of||绑架罪||ENTITY,绑架,ENTITY,part_of,绑架罪,ENTITY,FN
绑架罪||ENTITY||defines||人质||ENTITY,绑架罪,ENTITY,defines,人质,ENTITY,FN
绑架罪||罪名||related_to||非法拘禁罪||罪名,绑架罪,罪名,related_to,非法拘禁罪,罪名,FN
贩卖毒品罪||CRIME||applies_to||毒品||SUBSTANCE,贩卖毒品罪,CRIME,applies_to,毒品,SUBSTANCE,FN
贩卖毒品罪||crime||applies_to||毒品||substance,贩卖毒品罪,crime,applies_to,毒品,substance,FN
超市||ORGANIZATION||causes||顾客||PERSON,超市,ORGANIZATION,causes,顾客,PERSON,FN
超市||ORGANIZATION||related_to||过失犯罪||CRIME,超市,ORGANIZATION,related_to,过失犯罪,CRIME,FN
跌忽大意的过失||CONCEPT||related_to||意外事件||EVENT,跌忽大意的过失,CONCEPT,related_to,意外事件,EVENT,FN
轻罪||LEGAL_CONCEPT||related_to||既遂||LEGAL_CONCEPT,轻罪,LEGAL_CONCEPT,related_to,既遂,LEGAL_CONCEPT,FN
轻罪||LEGAL_CONCEPT||related_to||重罪||LEGAL_CONCEPT,轻罪,LEGAL_CONCEPT,related_to,重罪,LEGAL_CONCEPT,FN
过于自信的过失||LEGAL_TERM||related_to||不可抗力||LEGAL_TERM,过于自信的过失,LEGAL_TERM,related_to,不可抗力,LEGAL_TERM,FN
过失||LEGAL_TERM||related_to||故意||LEGAL_TERM,过失,LEGAL_TERM,related_to,故意,LEGAL_TERM,FN
过失犯罪||LEGAL_TERM||related_to||故意犯罪||LEGAL_TERM,过失犯罪,LEGAL_TERM,related_to,故意犯罪,LEGAL_TERM,FN
过失的危险||danger||related_to||疏忽大意的过失||negligence,过失的危险,danger,related_to,疏忽大意的过失,negligence,FN
过失致人死亡罪||CRIME||related_to||想象竞合||LEGAL_CONCEPT,过失致人死亡罪,CRIME,related_to,想象竞合,LEGAL_CONCEPT,FN
过失致人死亡罪||CRIME||related_to||故意杀人罪||CRIME,过失致人死亡罪,CRIME,related_to,故意杀人罪,CRIME,FN
过失致人死亡罪||crime||applies_to||妻子||person,过失致人死亡罪,crime,applies_to,妻子,person,FN
过失致人死亡罪||crime||related_to||想象竞合||legal_concept,过失致人死亡罪,crime,related_to,想象竞合,legal_concept,FN
过期食品||OBJECT||causes||顾客||PERSON,过期食品,OBJECT,causes,顾客,PERSON,FN
运输假币罪||crime||defines||假币||object,运输假币罪,crime,defines,假币,object,FN
重罪||crime_class||includes||轻罪||crime_class,重罪,crime_class,includes,轻罪,crime_class,FN
重罪||crime_class||related_to||轻罪||crime_class,重罪,crime_class,related_to,轻罪,crime_class,FN
重罪||法律概念||includes||轻罪||法律概念,重罪,法律概念,includes,轻罪,法律概念,FN
金融诈骗罪||罪名||includes||诈骗罪||罪名,金融诈骗罪,罪名,includes,诈骗罪,罪名,FN
间接故意||LEGAL_CONCEPT||related_to||择一故意||LEGAL_CONCEPT,间接故意,LEGAL_CONCEPT,related_to,择一故意,LEGAL_CONCEPT,FN
间接故意||LEGAL_CONCEPT||related_to||概括故意||LEGAL_CONCEPT,间接故意,LEGAL_CONCEPT,related_to,概括故意,LEGAL_CONCEPT,FN
间接故意||LEGAL_CONCEPT||related_to||直接故意||LEGAL_CONCEPT,间接故意,LEGAL_CONCEPT,related_to,直接故意,LEGAL_CONCEPT,FN
间接故意||LEGAL_TERM||applies_to||故意杀人罪||LEGAL_TERM,间接故意,LEGAL_TERM,applies_to,故意杀人罪,LEGAL_TERM,FN
间接故意||LEGAL_TERM||related_to||择一故意||LEGAL_TERM,间接故意,LEGAL_TERM,related_to,择一故意,LEGAL_TERM,FN
间接故意||LEGAL_TERM||related_to||直接故意||LEGAL_TERM,间接故意,LEGAL_TERM,related_to,直接故意,LEGAL_TERM,FN
间接故意||LEGAL_TERM||related_to||过于自信的过失||LEGAL_TERM,间接故意,LEGAL_TERM,related_to,过于自信的过失,LEGAL_TERM,FN
间接故意||心理状态||causes||故意杀人罪||罪名,间接故意,心理状态,causes,故意杀人罪,罪名,FN
顾客||PERSON||related_to||过失犯罪||CRIME,顾客,PERSON,related_to,过失犯罪,CRIME,FN
鸣忽大意的过失||LEGAL_CONCEPT||related_to||过于自信的过失||LEGAL_CONCEPT,鸣忽大意的过失,LEGAL_CONCEPT,related_to,过于自信的过失,LEGAL_CONCEPT,FN
